tag_id,place_id
128,47
128,46
128,32
128,11
129,49
129,11
129,1
129,22
129,26
129,3
129,13
129,18
129,5
129,23
130,11
130,49
130,20
130,42
130,1
130,12
130,47
130,33
131,20
131,47
131,50
131,33
132,3
132,1
132,13
132,35
133,20
133,32
133,43
133,49
133,46
133,33
133,51
133,3
133,50
133,24
133,46
133,26
133,11
133,42
133,45
133,21
133,29
133,38
133,1
133,2
133,12
134,36
134,22
134,49
134,17
134,37
135,20
135,50
135,38
135,32
135,51
135,39
135,22
135,36
135,17
135,37
135,13
135,1
135,3
135,49
135,33
135,26
136,12
136,20
136,43
136,47
136,49
136,33
136,50
136,1
136,11
137,21
137,20
137,42
137,12
137,47
137,49
137,33
138,20
138,49
138,9
138,15
138,48
138,47
138,33
139,13
139,34
139,40
139,27
139,3
139,1
139,26
140,11
140,8
140,23
140,5
140,6
140,1
140,3
140,26
141,20
141,12
141,42
141,50
141,1
141,2
141,47
141,33
142,39
142,49
142,33
142,11
142,1
142,3
143,49
143,35
143,33
143,5
144,24
144,20
144,47
144,11
144,1
144,27
144,3
144,23
144,5
144,15
144,26
144,44
145,11
145,1
145,3
145,26
145,47
145,33
145,49
145,23
145,5
145,37
145,18
145,41
146,39
146,37
146,17
146,22
146,36
146,33
146,6
146,13
147,49
147,6
147,48
147,20
147,46
147,50
148,16
148,20
148,23
148,5
148,6
148,33
148,2
148,1
148,46
148,11
148,40
149,5
149,6
149,9
149,49
150,30
150,15
150,49
150,5
151,49
151,15
151,11
151,8
151,1
152,43
152,20
152,18
152,12
152,47
152,33
153,16
153,33
153,49
153,9
153,5
154,20
154,42
154,12
154,47
154,33
154,7
154,33
155,20
155,42
155,12
155,47
155,33
155,45
155,50
155,33
156,20
156,15
156,24
156,1
157,20
157,15
157,24
157,1
158,20
158,21
158,42
158,45
158,12
158,2
158,1
158,47
158,33
159,48
159,6
159,23
159,1
160,50
160,5
160,23
161,48
161,49
161,20
161,42
161,1
161,12
161,47
161,33
162,3
162,35
162,13
162,1
163,39
163,13
163,33
163,1
163,3
163,35
164,20
164,12
164,11
164,40
164,1
164,47
164,49
164,50
164,33
164,3
164,9
164,13
164,8
164,26
165,20
165,12
165,11
165,40
165,1
165,47
165,49
165,50
165,33
165,3
165,9
165,13
165,8
165,26
166,26
166,13
166,40
166,1
167,42
167,20
167,21
167,29
167,49
167,33
167,47
167,12
167,1
167,3
167,45
167,40
167,26
167,2
167,50
167,7
168,43
168,24
168,11
168,1
168,49
168,26
168,18
169,18
169,26
169,11
169,1
169,3
169,49
169,43
170,26
170,13
170,1
170,40
171,37
171,36
171,17
171,10
172,49
172,38
172,4
172,32
172,51
172,47
172,33
172,46
173,39
173,11
173,24
173,1
173,3
173,13
173,27
174,39
174,13
174,33
174,1
174,3
174,35
175,11
175,49
175,35
175,33
176,37
176,22
176,36
176,17
177,5
177,6
177,22
177,11
178,39
178,11
178,8
178,24
178,23
178,5
178,6
178,22
178,10
178,1
178,3
178,26
179,47
179,20
179,12
179,43
179,49
179,42
179,33
180,20
180,5
180,6
180,22
180,15
180,49
180,11
181,50
181,36
181,22
181,37
181,17
182,49
182,11
182,8
182,20
182,1
182,33
182,46
183,39
183,24
183,11
183,1
184,20
184,23
184,5
184,6
184,49
184,30
185,23
185,5
185,6
185,34
185,13
185,35
185,1
186,26
186,1
187,26
187,23
187,5
187,6
187,22
187,11
187,3
187,26
187,1
187,31
187,40
187,51
187,38
187,32
187,20
187,49
187,37
187,36
187,17
187,44
188,21
188,42
188,20
188,33
188,29
188,49
188,50
188,49
188,11
188,3
188,1
188,12
188,33
189,11
189,24
189,1
189,26
190,20
190,37
190,22
190,17
190,36
190,33
191,49
191,22
191,37
191,17
191,36
191,5
191,6
192,23
192,5
192,35
193,39
193,20
193,33
193,47
193,11
193,3
193,1
193,13
194,20
194,42
194,49
194,47
194,33
194,12
